encoder,stream,corpus,class,n,p_at_1,p_at_5,random_p_at_5,lift,p_at_5_same_sensor,lift_same_sensor
openclip_b32,context,jitter,harbor,198,0.9646,0.9606,0.0626,0.898,,
openclip_b32,context,jitter,bridge,108,0.9167,0.9056,0.0333,0.8722,,
openclip_b32,context,jitter,vehicle,516,0.9942,0.9953,0.1469,0.8484,,
openclip_b32,context,jitter,ship,254,0.9567,0.9142,0.0772,0.837,,
openclip_b32,context,jitter,storage_tank,585,0.988,0.9918,0.175,0.8168,,
openclip_b32,context,jitter,airplane,656,1.0,0.9988,0.1945,0.8043,,
openclip_b32,context,jitter,ground_track_field,138,0.8333,0.7652,0.0319,0.7333,,
openclip_b32,context,jitter,baseball_diamond,334,0.8473,0.8144,0.097,0.7174,,
openclip_b32,context,jitter,tennis_court,454,0.8304,0.8348,0.1313,0.7035,,
openclip_b32,context,jitter,basketball_court,130,0.5538,0.4677,0.0508,0.4169,,
dinov2_b14,object,clean,ground_track_field,138,1.0,0.9942,0.0319,0.9623,0.9942,0.9333
dinov2_b14,object,clean,harbor,198,0.9949,0.9909,0.0626,0.9283,0.9909,0.9303
dinov2_b14,object,clean,bridge,108,0.9444,0.9593,0.0333,0.9259,0.9593,0.9148
dinov2_b14,object,clean,ship,254,0.9921,0.9724,0.0772,0.8953,0.9732,0.8772
dinov2_b14,object,clean,baseball_diamond,334,0.991,0.9916,0.097,0.8946,0.9928,0.8868
dinov2_b14,object,clean,tennis_court,454,0.989,0.9828,0.1313,0.8515,0.9828,0.8344
dinov2_b14,object,clean,vehicle,516,0.9942,0.9926,0.1469,0.8457,0.9953,0.2729
dinov2_b14,object,clean,storage_tank,585,0.9983,0.9969,0.175,0.8219,0.9969,0.8068
dinov2_b14,object,clean,basketball_court,130,0.8923,0.8662,0.0508,0.8154,0.8662,0.8231
dinov2_b14,object,clean,airplane,656,1.0,0.9991,0.1945,0.8046,0.9991,0.7771
dinov2_b14,object,jitter,ground_track_field,138,1.0,0.9942,0.0319,0.9623,,
dinov2_b14,object,jitter,bridge,108,0.9907,0.9667,0.0333,0.9333,,
dinov2_b14,object,jitter,harbor,198,0.9747,0.9778,0.0626,0.9152,,
dinov2_b14,object,jitter,baseball_diamond,334,0.982,0.9754,0.097,0.8784,,
dinov2_b14,object,jitter,ship,254,0.9724,0.9528,0.0772,0.8756,,
dinov2_b14,object,jitter,vehicle,516,0.9961,0.9872,0.1469,0.8403,,
dinov2_b14,object,jitter,tennis_court,454,0.9758,0.9604,0.1313,0.8291,,
dinov2_b14,object,jitter,basketball_court,130,0.9,0.8585,0.0508,0.8077,,
dinov2_b14,object,jitter,airplane,656,1.0,1.0,0.1945,0.8055,,
dinov2_b14,object,jitter,storage_tank,585,0.9761,0.9716,0.175,0.7966,,
dinov2_b14,context,clean,harbor,198,0.9798,0.9657,0.0626,0.903,0.9657,0.9051
dinov2_b14,context,clean,bridge,108,0.9352,0.8963,0.0333,0.863,0.8963,0.8519
dinov2_b14,context,clean,vehicle,516,0.9884,0.993,0.1469,0.8461,0.993,0.2705
dinov2_b14,context,clean,ship,254,0.9449,0.915,0.0772,0.8378,0.915,0.8189
dinov2_b14,context,clean,airplane,656,1.0,0.9994,0.1945,0.8049,0.9994,0.7774
dinov2_b14,context,clean,storage_tank,585,0.9744,0.9768,0.175,0.8017,0.9768,0.7867
dinov2_b14,context,clean,baseball_diamond,334,0.8323,0.7934,0.097,0.6964,0.7934,0.6874
dinov2_b14,context,clean,ground_track_field,138,0.7971,0.6884,0.0319,0.6565,0.6884,0.6275
dinov2_b14,context,clean,tennis_court,454,0.7687,0.7722,0.1313,0.641,0.7727,0.6242
dinov2_b14,context,clean,basketball_court,130,0.6077,0.4262,0.0508,0.3754,0.4262,0.3831
dinov2_b14,context,jitter,harbor,198,0.9596,0.9586,0.0626,0.896,,
dinov2_b14,context,jitter,bridge,108,0.9352,0.8963,0.0333,0.863,,
dinov2_b14,context,jitter,vehicle,516,0.9961,0.9926,0.1469,0.8457,,
dinov2_b14,context,jitter,ship,254,0.937,0.922,0.0772,0.8449,,
dinov2_b14,context,jitter,airplane,656,1.0,0.9979,0.1945,0.8034,,
dinov2_b14,context,jitter,storage_tank,585,0.9658,0.9716,0.175,0.7966,,
dinov2_b14,context,jitter,baseball_diamond,334,0.7904,0.7539,0.097,0.6569,,
dinov2_b14,context,jitter,ground_track_field,138,0.7609,0.6855,0.0319,0.6536,,
dinov2_b14,context,jitter,tennis_court,454,0.7004,0.7256,0.1313,0.5943,,
dinov2_b14,context,jitter,basketball_court,130,0.5308,0.3969,0.0508,0.3462,,
