arm,alpha,k,verdict,n,feature,mean
local_tight,0.5,4.0,reject_localisation,530,evidence_margin,-0.0196
local_tight,0.5,4.0,relabel,128,sim_at_1,0.9376
local_tight,0.5,4.0,relabel,128,agreement_at_k,0.0031
local_tight,0.5,4.0,relabel,128,class_margin,-0.137
local_tight,0.5,4.0,relabel,128,evidence_margin,-0.0019
local_tight,0.75,4.0,accept,531,sim_at_1,0.9548
local_tight,0.75,4.0,accept,531,agreement_at_k,0.9989
local_tight,0.75,4.0,accept,531,class_margin,0.1161
local_tight,0.75,4.0,accept,531,evidence_margin,0.0056
local_tight,0.75,4.0,adjust,403,sim_at_1,0.9415
local_tight,0.75,4.0,adjust,403,agreement_at_k,0.998
local_tight,0.75,4.0,adjust,403,class_margin,0.1013
local_tight,0.75,4.0,adjust,403,evidence_margin,-0.0054
local_tight,0.75,4.0,reject_background,174,sim_at_1,0.8709
local_tight,0.75,4.0,reject_background,174,agreement_at_k,0.1138
local_tight,0.75,4.0,reject_background,174,class_margin,-0.046
local_tight,0.75,4.0,reject_background,174,evidence_margin,-0.0492
local_tight,0.75,4.0,reject_localisation,530,sim_at_1,0.9207
local_tight,0.75,4.0,reject_localisation,530,agreement_at_k,0.9555
local_tight,0.75,4.0,reject_localisation,530,class_margin,0.0617
local_tight,0.75,4.0,reject_localisation,530,evidence_margin,-0.0238
local_tight,0.75,4.0,relabel,128,sim_at_1,0.9426
local_tight,0.75,4.0,relabel,128,agreement_at_k,0.0
local_tight,0.75,4.0,relabel,128,class_margin,-0.1325
local_tight,0.75,4.0,relabel,128,evidence_margin,-0.0026
local_tight,1.0,4.0,accept,531,sim_at_1,0.9693
local_tight,1.0,4.0,accept,531,agreement_at_k,0.9962
local_tight,1.0,4.0,accept,531,class_margin,0.102
local_tight,1.0,4.0,accept,531,evidence_margin,0.0047
local_tight,1.0,4.0,adjust,403,sim_at_1,0.9563
local_tight,1.0,4.0,adjust,403,agreement_at_k,0.9871
local_tight,1.0,4.0,adjust,403,class_margin,0.0853
local_tight,1.0,4.0,adjust,403,evidence_margin,-0.0066
local_tight,1.0,4.0,reject_background,174,sim_at_1,0.9105
local_tight,1.0,4.0,reject_background,174,agreement_at_k,0.0966
