arm,alpha,k,reject_type,feature,n_accept,n_reject,auroc
local_tight,1.0,4.0,reject_localisation,agreement_at_k,531,530,0.6696
local_tight,1.0,4.0,reject_localisation,class_margin,531,530,0.8549
local_tight,1.0,4.0,reject_localisation,evidence_margin,531,530,0.9579
local_tight,1.0,4.0,relabel,sim_at_1,531,128,0.7047
local_tight,1.0,4.0,relabel,agreement_at_k,531,128,1.0
local_tight,1.0,4.0,relabel,class_margin,531,128,1.0
local_tight,1.0,4.0,relabel,evidence_margin,531,128,0.7571
local_tight,1.0,4.0,adjust,sim_at_1,531,403,0.7242
local_tight,1.0,4.0,adjust,agreement_at_k,531,403,0.5112
local_tight,1.0,4.0,adjust,class_margin,531,403,0.6111
local_tight,1.0,4.0,adjust,evidence_margin,531,403,0.821
local,0.5,2.0,reject_background,sim_at_1,531,174,0.9953
local,0.5,2.0,reject_background,agreement_at_k,531,174,0.9884
local,0.5,2.0,reject_background,class_margin,531,174,0.9984
local,0.5,2.0,reject_background,evidence_margin,531,174,0.9966
local,0.5,2.0,reject_localisation,sim_at_1,531,530,0.861
local,0.5,2.0,reject_localisation,agreement_at_k,531,530,0.5161
local,0.5,2.0,reject_localisation,class_margin,531,530,0.7363
local,0.5,2.0,reject_localisation,evidence_margin,531,530,0.9329
local,0.5,2.0,relabel,sim_at_1,531,128,0.6591
local,0.5,2.0,relabel,agreement_at_k,531,128,1.0
local,0.5,2.0,relabel,class_margin,531,128,1.0
local,0.5,2.0,relabel,evidence_margin,531,128,0.7285
local,0.5,2.0,adjust,sim_at_1,531,403,0.6474
local,0.5,2.0,adjust,agreement_at_k,531,403,0.5006
local,0.5,2.0,adjust,class_margin,531,403,0.5269
local,0.5,2.0,adjust,evidence_margin,531,403,0.7348
local,0.5,8.0,reject_background,sim_at_1,531,174,0.9933
local,0.5,8.0,reject_background,agreement_at_k,531,174,0.9624
local,0.5,8.0,reject_background,class_margin,531,174,0.9897
local,0.5,8.0,reject_background,evidence_margin,531,174,0.992
local,0.5,8.0,reject_localisation,sim_at_1,531,530,0.8189
local,0.5,8.0,reject_localisation,agreement_at_k,531,530,0.5095
local,0.5,8.0,reject_localisation,class_margin,531,530,0.703
local,0.5,8.0,reject_localisation,evidence_margin,531,530,0.9097
local,0.5,8.0,relabel,sim_at_1,531,128,0.6105
local,0.5,8.0,relabel,agreement_at_k,531,128,1.0
local,0.5,8.0,relabel,class_margin,531,128,1.0
local,0.5,8.0,relabel,evidence_margin,531,128,0.6739
local,0.5,8.0,adjust,sim_at_1,531,403,0.5983
local,0.5,8.0,adjust,agreement_at_k,531,403,0.4997
local,0.5,8.0,adjust,class_margin,531,403,0.5346
local,0.5,8.0,adjust,evidence_margin,531,403,0.6772
